DATE,COMNAM,TICKER,RET
20100730,TESLA MOTORS INC,TSLA,-0.163240
20100831,TESLA MOTORS INC,TSLA,-0.023069
20100930,TESLA MOTORS INC,TSLA,0.047485
20101029,TESLA MOTORS INC,TSLA,0.070326
20101130,TESLA MOTORS INC,TSLA,0.617674
20101231,TESLA MOTORS INC,TSLA,-0.246250
20110131,TESLA MOTORS INC,TSLA,-0.095006
20110228,TESLA MOTORS INC,TSLA,-0.008714
20110331,TESLA MOTORS INC,TSLA,0.161574
20110429,TESLA MOTORS INC,TSLA,-0.005405
20110531,TESLA MOTORS INC,TSLA,0.092029
20110630,TESLA MOTORS INC,TSLA,-0.033510
20110729,TESLA MOTORS INC,TSLA,-0.032956
20110831,TESLA MOTORS INC,TSLA,-0.121761
20110930,TESLA MOTORS INC,TSLA,-0.014147
20111031,TESLA MOTORS INC,TSLA,0.204182
20111130,TESLA MOTORS INC,TSLA,0.114743
20111230,TESLA MOTORS INC,TSLA,-0.127673
20120131,TESLA MOTORS INC,TSLA,0.017857
20120229,TESLA MOTORS INC,TSLA,0.149295
20120330,TESLA MOTORS INC,TSLA,0.114636
20120430,TESLA MOTORS INC,TSLA,-0.110365
20120531,TESLA MOTORS INC,TSLA,-0.109568
20120629,TESLA MOTORS INC,TSLA,0.060678
20120731,TESLA MOTORS INC,TSLA,-0.123682
20120831,TESLA MOTORS INC,TSLA,0.040117
20120928,TESLA MOTORS INC,TSLA,0.026648
20121031,TESLA MOTORS INC,TSLA,-0.039228
20121130,TESLA MOTORS INC,TSLA,0.202215
20121231,TESLA MOTORS INC,TSLA,0.001478
20130131,TESLA MOTORS INC,TSLA,0.107470
20130228,TESLA MOTORS INC,TSLA,-0.071448
20130328,TESLA MOTORS INC,TSLA,0.087855
20130430,TESLA MOTORS INC,TSLA,0.424914
20130531,TESLA MOTORS INC,TSLA,0.810706
20130628,TESLA MOTORS INC,TSLA,0.098200
20130731,TESLA MOTORS INC,TSLA,0.250745
20130830,TESLA MOTORS INC,TSLA,0.258564
20130930,TESLA MOTORS INC,TSLA,0.144201
20131031,TESLA MOTORS INC,TSLA,-0.172881
20131129,TESLA MOTORS INC,TSLA,-0.204202
20131231,TESLA MOTORS INC,TSLA,0.181875
20140131,TESLA MOTORS INC,TSLA,0.205951
20140228,TESLA MOTORS INC,TSLA,0.349485
20140331,TESLA MOTORS INC,TSLA,-0.148523
20140430,TESLA MOTORS INC,TSLA,-0.002686
20140530,TESLA MOTORS INC,TSLA,-0.000577
20140630,TESLA MOTORS INC,TSLA,0.155412
20140731,TESLA MOTORS INC,TSLA,-0.069816
20140829,TESLA MOTORS INC,TSLA,0.207792
20140930,TESLA MOTORS INC,TSLA,-0.100185
20141031,TESLA MOTORS INC,TSLA,-0.004038
20141128,TESLA MOTORS INC,TSLA,0.011667
20141231,TESLA MOTORS INC,TSLA,-0.090422
20150130,TESLA MOTORS INC,TSLA,-0.084574
20150227,TESLA MOTORS INC,TSLA,-0.001277
20150331,TESLA MOTORS INC,TSLA,-0.071653
20150430,TESLA MOTORS INC,TSLA,0.197489
20150529,TESLA MOTORS INC,TSLA,0.109489
20150630,TESLA MOTORS INC,TSLA,0.069617
20150731,TESLA MOTORS INC,TSLA,-0.007866
20150831,TESLA MOTORS INC,TSLA,-0.064212
20150930,TESLA MOTORS INC,TSLA,-0.002650
