Date,SP500,Tesla,CC,J&J
2010-07-01,1027.3699951171875,1.4639999866485596,25.014999389648438,59.06999969482422
2010-07-02,1022.5800170898438,1.2799999713897705,25.024999618530273,59.08000183105469
2010-07-06,1028.06005859375,1.0740000009536743,25.21500015258789,59.08000183105469
2010-07-07,1060.27001953125,1.053333044052124,25.735000610351562,60.61000061035156
2010-07-08,1070.25,1.1640000343322754,26.209999084472656,61.380001068115234
2010-07-09,1077.9599609375,1.159999966621399,26.200000762939453,60.540000915527344
2010-07-12,1078.75,1.136667013168335,26.225000381469727,60.209999084472656
2010-07-13,1095.3399658203125,1.2093329429626465,26.360000610351562,60.5
2010-07-14,1095.1700439453125,1.3226670026779175,26.40999984741211,60.619998931884766
2010-07-15,1096.47998046875,1.3259999752044678,26.424999237060547,60.2599983215332
2010-07-16,1064.8800048828125,1.3760000467300415,26.184999465942383,59.439998626708984
2010-07-19,1071.25,1.4606670141220093,26.135000228881836,59.56999969482422
2010-07-20,1083.47998046875,1.3533329963684082,26.6200008392334,58.58000183105469
2010-07-21,1069.5899658203125,1.3480000495910645,27.040000915527344,57.119998931884766
2010-07-22,1093.6700439453125,1.399999976158142,27.1299991607666,57.02000045776367
2010-07-23,1102.6600341796875,1.4193329811096191,27.375,57.630001068115234
2010-07-26,1115.010009765625,1.3966670036315918,27.469999313354492,57.7400016784668
2010-07-27,1113.8399658203125,1.3700000047683716,27.524999618530273,58.099998474121094
2010-07-28,1106.1300048828125,1.3813329935073853,27.440000534057617,57.83000183105469
2010-07-29,1101.530029296875,1.3566670417785645,27.4950008392334,57.83000183105469
2010-07-30,1101.5999755859375,1.329332947731018,27.55500030517578,58.09000015258789
2010-08-02,1125.8599853515625,1.3946670293807983,28.204999923706055,58.720001220703125
2010-08-03,1120.4599609375,1.463333010673523,28.190000534057617,59.349998474121094
2010-08-04,1127.239990234375,1.4173330068588257,28.274999618530273,59.7400016784668
2010-08-05,1125.81005859375,1.363332986831665,28.184999465942383,59.7599983215332
2010-08-06,1121.6400146484375,1.305999994277954,28.375,59.959999084472656
2010-08-09,1127.7900390625,1.3066669702529907,28.55500030517578,60.04999923706055
2010-08-10,1121.06005859375,1.2686669826507568,28.489999771118164,59.43000030517578
2010-08-11,1089.469970703125,1.1933330297470093,28.020000457763672,58.5
2010-08-12,1083.6099853515625,1.1733330488204956,27.844999313354492,58.52000045776367
2010-08-13,1079.25,1.2213330268859863,27.864999771118164,58.150001525878906
2010-08-16,1079.3800048828125,1.2519999742507935,27.940000534057617,58.0099983215332
2010-08-17,1092.5400390625,1.2766669988632202,28.059999465942383,59.220001220703125
2010-08-18,1094.1600341796875,1.2513329982757568,27.920000076293945,59.349998474121094
2010-08-19,1075.6300048828125,1.25266695022583,27.639999389648438,58.720001220703125
2010-08-20,1071.68994140625,1.273332953453064,27.649999618530273,58.7400016784668
2010-08-23,1067.3599853515625,1.3420000076293945,27.799999237060547,58.869998931884766
2010-08-24,1051.8699951171875,1.2799999713897705,27.829999923706055,58.0099983215332
2010-08-25,1055.3299560546875,1.3266669511795044,27.69499969482422,57.97999954223633
2010-08-26,1047.219970703125,1.3166669607162476,27.579999923706055,57.79999923706055
2010-08-27,1064.5899658203125,1.3133330345153809,28.079999923706055,57.599998474121094
2010-08-30,1048.9200439453125,1.324666976928711,27.774999618530273,57.29999923706055
2010-08-31,1049.3299560546875,1.2986669540405273,27.940000534057617,57.02000045776367
2010-09-01,1080.2900390625,1.363332986831665,28.655000686645508,58.290000915527344
2010-09-02,1090.0999755859375,1.4040000438690186,28.690000534057617,58.61000061035156
2010-09-03,1104.510009765625,1.4033329486846924,28.780000686645508,58.93000030517578
2010-09-07,1091.8399658203125,1.369333028793335,28.815000534057617,58.70000076293945
2010-09-08,1098.8699951171875,1.3933329582214355,28.915000915527344,58.849998474121094
2010-09-09,1104.1800537109375,1.380666971206665,29.145000457763672,59.81999969482422
2010-09-10,1109.550048828125,1.3446669578552246,29.260000228881836,59.97999954223633
2010-09-13,1121.9000244140625,1.3813329935073853,29.014999389648438,60.31999969482422
2010-09-14,1121.0999755859375,1.4079999923706055,28.795000076293945,60.58000183105469
2010-09-15,1125.0699462890625,1.4653329849243164,28.709999084472656,61.04999923706055
2010-09-16,1124.6600341796875,1.3960000276565552,28.7549991607666,61.290000915527344
2010-09-17,1125.5899658203125,1.348667025566101,28.780000686645508,61.56999969482422
2010-09-20,1142.7099609375,1.4040000438690186,28.985000610351562,62.09000015258789
2010-09-21,1139.780029296875,1.3846670389175415,29.05500030517578,61.939998626708984
2010-09-22,1134.280029296875,1.324666976928711,29.114999771118164,61.970001220703125
2010-09-23,1124.8299560546875,1.3040000200271606,28.934999465942383,61.810001373291016
2010-09-24,1148.6700439453125,1.340000033378601,29.309999465942383,62.13999938964844
2010-09-27,1142.1600341796875,1.3686670064926147,29.299999237060547,62.029998779296875
2010-09-28,1147.699951171875,1.4266669750213623,29.549999237060547,62.43000030517578
2010-09-29,1144.72998046875,1.4653329849243164,29.3799991607666,62.310001373291016
2010-09-30,1141.199951171875,1.3606669902801514,29.260000228881836,61.959999084472656
2010-10-01,1146.239990234375,1.3733329772949219,29.559999465942383,61.75
2010-10-04,1137.030029296875,1.3993330001831055,29.440000534057617,61.66999816894531
2010-10-05,1160.75,1.4079999923706055,29.829999923706055,62.79999923706055
2010-10-06,1159.969970703125,1.3639999628067017,29.899999618530273,63.209999084472656
2010-10-07,1158.06005859375,1.3619999885559082,29.719999313354492,63.220001220703125
